"M_NICKNAME","M_PASSWORD","M_BIRTHYEAR","M_GENDER","M_JOINDATE"
"염소","rkskek123!",2002,1,22/09/27
"고양이","rkskek123!",1990,0,22/09/25
"강아지","rkskek123!",2022,0,22/09/27
"송아지","rkskek123!",1990,1,22/09/27
"기린","rkskek123!",1980,0,22/09/27
"원숭이","rkskek123!",1970,1,22/09/27
"치타","rkskek123!",1962,1,22/09/27
"고슴도치","rkskek123!",1985,0,22/09/27
"사슴","rkskek123!",1992,1,22/09/27
"호랑이","rkskek123!",1996,0,22/09/27
"다람쥐","rkskek123!",1972,0,22/09/27
"M_NICKNAME","P_ROWNUM","M_AGERANGE","M_GENDER"
"염소",3,2,1
"강아지",1,0,1
"강아지",2,0,0
"염소",4,2,1
"송아지",5,3,1
"송아지",4,3,1
"송아지",3,3,1
"송아지",2,3,1
"송아지",1,3,1
"기린",6,4,0
"기린",5,4,0
"기린",2,4,0
"원숭이",7,5,1
"원숭이",2,5,1
"원숭이",6,5,1
"치타",8,6,1
"치타",2,6,1
"치타",4,6,1
"치타",7,6,1
"고슴도치",9,3,0
"고슴도치",5,3,0
"고슴도치",2,3,0
"고슴도치",3,3,0
"사슴",10,3,1
"사슴",4,3,1
"사슴",8,3,1
"호랑이",11,2,0
"호랑이",6,2,0
"호랑이",10,2,0
"호랑이",3,2,0
"호랑이",7,2,0
"P_ROWNUM","P_TRIPDAY","P_TRIPDATE","P_SEQUENCE","S_SERIALNUM","P_SPOTNAME"
1,1,22/10/05,3,"E28","부산대저토마토축제"
1,1,22/10/05,1,"R32","고반식당 부산해운대점"
1,1,22/10/05,2,"R35","서면밀면"
1,2,22/10/06,1,"R42","FM커피하우스 1호점"
1,2,22/10/06,2,"E04","광안리해수욕장"
1,2,22/10/06,3,"R05","평산옥"
1,3,22/10/07,1,"E20","부산원도심 골목길축제"
1,3,22/10/07,2,"R29","빨간떡볶이"
1,3,22/10/07,3,"R23","어밤부"
2,1,22/10/06,1,"E26","해운대종합관광봉사센터 안내소"
2,1,22/10/06,2,"R39","1984나폴리"
2,1,22/10/06,3,"T01","김해국제공항"
2,2,22/10/07,1,"A27","신라스테이 해운대"
2,2,22/10/07,2,"R01","본전돼지국밥"
2,2,22/10/07,3,"E13","ABC마트 GS부산광복점"
3,1,22/10/07,1,"E29","기장멸치축제"
3,1,22/10/07,2,"R44","베르크로스터스"
3,2,22/10/08,1,"A27","신라스테이 해운대"
3,2,22/10/08,2,"A07","크라운하버호텔 부산"
4,1,22/10/05,1,"R32","고반식당 부산해운대점"
4,1,22/10/05,2,"R24","나가하마만게츠"
4,1,22/10/05,3,"E05","삼락생태공원"
4,2,22/10/06,1,"E29","기장멸치축제"
4,2,22/10/06,2,"R01","본전돼지국밥"
4,2,22/10/06,3,"R28","버거샵 해운대점"
5,1,22/10/11,1,"R46","스노잉클라우드"
5,1,22/10/11,2,"E11","다대포꿈의낙조분수"
5,1,22/10/11,3,"E16","해운대종합관광봉사센터 안내소"
5,1,22/10/11,4,"R12","육전밀면 부산역본점"
5,2,22/10/12,1,"T02","부산역"
5,2,22/10/12,2,"E04","광안리해수욕장"
5,2,22/10/12,3,"R39","1984나폴리"
5,3,22/10/13,1,"R35","서면밀면"
5,3,22/10/13,2,"R47","비비비당"
5,3,22/10/13,3,"R14","해운대암소갈비집"
6,1,22/10/18,1,"T01","김해국제공항"
6,1,22/10/18,2,"A11","부산뷰호텔"
6,1,22/10/18,3,"R46","스노잉클라우드"
6,1,22/10/18,4,"R51","카페루프탑"
6,1,22/10/18,5,"E18","용두산공원 관리사무소"
6,2,22/10/19,1,"E17","초량차이나타운"
6,2,22/10/19,2,"R11","은하갈비"
6,2,22/10/19,3,"R02","신발원"
6,3,22/10/20,1,"R50","브론즈웨인커피"
6,3,22/10/20,2,"R41","서초갈비"
6,3,22/10/20,3,"R44","베르크로스터스"
6,4,22/10/21,1,"R34","사카나식당"
6,4,22/10/21,2,"R45","이너프"
6,5,22/10/22,1,"R48","블랙업커피 해운대점"
6,5,22/10/22,2,"R05","평산옥"
6,5,22/10/22,3,"T01","김해국제공항"
7,1,22/10/30,1,"A38","팔레드시즈"
7,1,22/10/30,2,"R11","은하갈비"
7,1,22/10/30,3,"R07","마가만두"
7,2,22/10/31,1,"A34","해운대센텀호텔"
7,2,22/10/31,2,"R02","신발원"
7,2,22/10/31,3,"R12","육전밀면 부산역본점"
7,3,22/11/01,1,"A39","웨스틴조선 부산"
7,3,22/11/01,2,"R21","상국이네"
7,3,22/11/01,3,"R13","장성향"
8,1,22/10/03,1,"T04","서면역"
8,1,22/10/03,2,"T05","동래역"
8,1,22/10/03,3,"T07","하단역"
8,1,22/10/03,4,"T11","센텀시티역"
8,1,22/10/03,5,"T18","덕천역"
8,2,22/10/04,1,"T21","대연역"
8,2,22/10/04,2,"T23","교대역"
8,2,22/10/04,3,"T25","양정역"
8,2,22/10/04,4,"T26","부산역"
8,3,22/10/05,1,"T28","명륜역"
8,3,22/10/05,2,"T31","미남역"
8,3,22/10/05,3,"T32","전포역"
8,3,22/10/05,4,"T33","신평역"
9,1,22/10/26,1,"A11","부산뷰호텔"
9,1,22/10/26,2,"A24","라이온호텔"
9,1,22/10/26,3,"A25","TRT호텔"
9,2,22/10/27,1,"A29","베니키아해운대호텔마리안느"
9,2,22/10/27,2,"A31","베스트웨스턴 해운대호텔"
9,2,22/10/27,3,"A35","라마다앙코르해운대호텔"
10,1,22/10/17,1,"A11","부산뷰호텔"
10,1,22/10/17,2,"R33","코지하우스"
10,2,22/10/18,1,"A17","롯데호텔 부산"
10,2,22/10/18,2,"A24","라이온호텔"
